"Host","HostClass","HostOrder","HostFamily","HostGenus","ZoonoticHost","PathogenRichness","ZoonoticPathogenRichness","Pathogens","ZoonoticPathogens","HostCriteria"
"sus scrofa","mammalia","artiodactyla","suidae","sus",TRUE,442,248,"[actinobacillus] rossii, [pasteurella] aerogenes, [pasteurella] mairii, acetivibrio ethanolgignens, acholeplasma axanthum, acholeplasma granularum, achromobacter xylosoxidans, acidaminococcus fermentans, acinetobacter baumannii, actinobacillus equuli, actinobacillus indolicus, actinobacillus minor, actinobacillus pleuropneumoniae, actinobacillus porcinus, actinobacillus porcitonsillarum, actinobacillus suis, actinobacillus ureae, actinobaculum suis, actinomyces israelii, actinomyces naeslundii, aerococcus suis, aerococcus viridans, aeromonas allosaccharophila, aeromonas caviae, aeromonas hydrophila, aeromonas simiae, aliarcobacter butzleri, aliarcobacter cryaerophilus, aliarcobacter lanthieri, aliarcobacter skirrowii, aliarcobacter thereius, aliarcobacter trophiarum, allofustis seminis, alysiella filiformis, anaerorhabdus furcosa, anaplasma bovis, anaplasma marginale, anaplasma phagocytophilum, arcanobacterium haemolyticum, bacillus amyloliquefaciens, bacillus anthracis, bacillus cereus, bacteroides coprosuis, bacteroides fragilis, bacteroides helcogenes, bacteroides pyogenes, bergeyella zoohelcum, bifidobacterium animalis, bifidobacterium longum, bifidobacterium pseudolongum, bifidobacterium psychraerophilum, bifidobacterium thermacidophilum, bifidobacterium thermophilum, bordetella bronchiseptica, borrelia duttonii, brachyspira hyodysenteriae, brachyspira innocens, brachyspira intermedia, brachyspira murdochii, brachyspira pilosicoli, brachyspira suanatina, brucella abortus, brucella melitensis, brucella microti, brucella sp., brucella suis, burkholderia pseudomallei, butyricimonas virosa, campylobacter coli, campylobacter hyointestinalis, campylobacter jejuni, campylobacter lanienae, campylobacter mucosalis, campylobacter sputorum, campylobacter ureolyticus, chlamydia abortus, chlamydia pecorum, chlamydia psittaci, chlamydia suis, chromobacterium violaceum, clostridioides difficile, clostridium intestinale, clostridium novyi, clostridium perfringens, clostridium sporogenes, clostridium tertium, clostridium tetani, corynebacterium glucuronolyticum, corynebacterium pseudotuberculosis, corynebacterium suicordis, corynebacterium ulcerans, corynebacterium xerosis, coxiella burnetii, cutibacterium acnes, edwardsiella tarda, ehrlichia sp., enterobacter cloacae, enterococcus avium, enterococcus casseliflavus, enterococcus cecorum, enterococcus durans, enterococcus faecalis, enterococcus faecium, enterococcus hirae, enterococcus mundtii, enterococcus villorum, erysipelothrix rhusiopathiae, erysipelothrix tonsillarum, escherichia coli, escherichia fergusonii, fusobacterium necrophorum, gallibacterium anatis, glaesserella parasuis, globicatella sulfidifaciens, haemophilus parahaemolyticus, haemophilus parainfluenzae, hathewaya histolytica, hathewaya limosa, helcococcus kunzii, helicobacter canadensis, helicobacter heilmannii, helicobacter suis, histophilus somni, klebsiella pneumoniae, lactiplantibacillus plantarum, lactobacillus acidophilus, lactobacillus amylovorus, lactobacillus johnsonii, lactococcus garvieae, lawsonia intracellularis, leptospira fainei, leptospira interrogans, leptospira kirschneri, leptospira santarosai, leptospira sp., ligilactobacillus agilis, ligilactobacillus ruminis, ligilactobacillus salivarius, limosilactobacillus fermentum, limosilactobacillus mucosae, limosilactobacillus reuteri, listeria monocytogenes, listeria seeligeri, mammaliicoccus sciuri, mannheimia varigena, megasphaera elsdenii, moraxella pluranimalium, moraxella porci, morganella morganii, mycobacterium avium, mycobacterium celatum, mycobacterium interjectum, mycobacterium kansasii, mycobacterium palustre, mycobacterium scrofulaceum, mycobacterium sp., mycobacterium szulgai, mycobacterium tuberculosis, mycobacterium xenopi, mycolicibacter terrae, mycolicibacterium flavescens, mycolicibacterium fortuitum, mycolicibacterium porcinum, mycolicibacterium smegmatis, mycoplasma bovis, mycoplasma hyopneumoniae, mycoplasma hyorhinis, mycoplasma hyosynoviae, mycoplasma parvum, mycoplasma salivarium, mycoplasma suis, mycoplasma wenyonii, nocardia asteroides, odoribacter splanchnicus, orbus hercynius, paraburkholderia fungorum, pasteurella caballi, pasteurella multocida, phocaeicola vulgatus, plesiomonas shigelloides, proteus mirabilis, proteus penneri, proteus vulgaris, providencia alcalifaciens, providencia rettgeri, pseudomonas aeruginosa, rhodococcus hoagii, rickettsia prowazekii, rickettsia raoultii, rickettsia rickettsii, rickettsia slovaca, rickettsia sp., rickettsia tamurae, robinsoniella peoriensis, salmonella enterica, salmonella sp., schaalia hyovaginalis, schaalia suimastitidis, staphylococcus aureus, staphylococcus chromogenes, staphylococcus hyicus, staphylococcus intermedius, staphylococcus nepalensis, staphylococcus rostri, staphylococcus warneri, stenotrophomonas maltophilia, streptococcus alactolyticus, streptococcus dysgalactiae, streptococcus equi, streptococcus ferus, streptococcus hyointestinalis, streptococcus porci, streptococcus porcinus, streptococcus pyogenes, streptococcus suis, treponema pedis, treponema succinifaciens, trueperella abortisuis, trueperella bernardiae, trueperella pyogenes, uruburuella suis, vagococcus fluvialis, veillonella magna, veillonella parvula, yersinia aldovae, yersinia enterocolitica, yersinia pseudotuberculosis, aspergillus niger, coccidioides immitis, encephalitozoon cuniculi, enterocytozoon bieneusi, histoplasma capsulatum, malassezia sympodialis, microsporum canis, rhizopus microsporus, saccharomyces cerevisiae, scedosporium boydii, trichophyton mentagrophytes, trichophyton verrucosum, alaria alata, artyfechinostomum sufrartyfex, ascaris lumbricoides, ascaris suum, clonorchis sinensis, echinococcus canadensis, echinococcus granulosus, fasciola gigantica, fascioloides magna, fasciolopsis buski, gastrodiscoides hominis, gnathostoma doloresi, gongylonema pulchrum, hyostrongylus rubidus, metastrongylus apri, metastrongylus asymmetricus, metastrongylus confusus, metastrongylus pudendotectus, metastrongylus salmi, necator americanus, oesophagostomum dentatum, oesophagostomum quadrispinulatum, onchocerca dewittei, opisthorchis noverca, paragonimus westermani, spirometra mansonoides, stephanurus dentatus, strongyloides ransomi, taenia hydatigena, taenia solium, trichinella britovi, trichinella nativa, trichinella papuae, trichinella spiralis, trichuris suis, methanobrevibacter gottschalkii, babesia gibsoni, babesia sp., balantioides coli, blastocystis hominis, cryptosporidium muris, cryptosporidium parvum, cryptosporidium suis, cystoisospora suis, eimeria debliecki, eimeria sp., entamoeba polecki, entamoeba suis, giardia intestinalis, giardia sp., sarcocystis miescheriana, sarcocystis suihominis, tetratrichomonas buttreyi, theileria sp., toxoplasma gondii, tritrichomonas suis, trypanosoma brucei, trypanosoma congolense, trypanosoma evansi, african swine fever virus, aichivirus b, aichivirus c, akabane orthobunyavirus, alphacoronavirus 1, avian coronavirus, avian metaavulavirus 2, avian orthoavulavirus 1, banna virus, batai orthobunyavirus, betaarterivirus suid 1, betaarterivirus suid 2, betacoronavirus 1, bovine fever ephemerovirus, bovine respirovirus 3, bunyamwera orthobunyavirus, california encephalitis orthobunyavirus, canine morbillivirus, cardiovirus a, coronavirus hku15, cosavirus a, dabie bandavirus, dyodeltapapillomavirus 1, eastern equine encephalitis virus, enterovirus a, enterovirus b, enterovirus d, enterovirus g, equine torovirus, foot-and-mouth disease virus, frog virus 3, getah virus, hepatitis b virus, herbert herbevirus, human associated cyclovirus 8, human mastadenovirus d, human picobirnavirus, indiana vesiculovirus, influenza a virus, influenza b virus, influenza c virus, influenza d virus, ingwavuma orthobunyavirus, japanese encephalitis virus, louping ill virus, mamastrovirus 2, mamastrovirus 3, mamastrovirus 4, mammalian orthoreovirus, mammalian orthorubulavirus 5, manzanilla orthobunyavirus, menangle pararubulavirus, murine leukemia virus, murine orthopneumovirus, murine respirovirus, ndumu virus, new jersey vesiculovirus, nipah henipavirus, nishimuro ledantevirus, nodamura virus, norwalk virus, orthohepevirus a, ovine gammaherpesvirus 2, parechovirus a, pasivirus a, patois orthobunyavirus, pegivirus k, pestivirus a, pestivirus b, pestivirus c, pestivirus d, pestivirus f, pestivirus k, pigeon circovirus, piscine novirhabdovirus, porcine associated gemycircularvirus 1, porcine associated gemycircularvirus 2, porcine associated porprismacovirus 1, porcine associated porprismacovirus 10, porcine associated porprismacovirus 3, porcine associated porprismacovirus 4, porcine associated porprismacovirus 5, porcine associated porprismacovirus 6, porcine associated porprismacovirus 7, porcine associated porprismacovirus 8, porcine associated porprismacovirus 9, porcine circovirus 1, porcine circovirus 2, porcine circovirus 3, porcine epidemic diarrhea virus, porcine mastadenovirus a, porcine mastadenovirus b, porcine mastadenovirus c, porcine orthorubulavirus, porcine respirovirus 1, porcine torovirus, porcine type-c oncovirus, rabies lyssavirus, reston ebolavirus, rhinolophus bat coronavirus hku2, rinderpest morbillivirus, rodent protoparvovirus 1, rotavirus a, rotavirus b, rotavirus c, rotavirus f, rotavirus h, sapelovirus a, sapporo virus, semliki forest virus, senecavirus a, severe acute respiratory syndrome-related coronavirus, simbu orthobunyavirus, sindbis virus, suid alphaherpesvirus 1, suid betaherpesvirus 2, suid gammaherpesvirus 3, suid gammaherpesvirus 4, swinepox virus, tacaiuma orthobunyavirus, teschovirus a, thiafora orthonairovirus, tick-borne encephalitis virus, torque teno sus virus 1a, torque teno sus virus 1b, torque teno sus virus k2a, torque teno sus virus k2b, torque teno virus 1, torque teno virus 2, tottorivirus a, ungulate bocaparvovirus 2, ungulate bocaparvovirus 3, ungulate bocaparvovirus 4, ungulate bocaparvovirus 5, ungulate chaphamaparvovirus 1, ungulate copiparvovirus 2, ungulate copiparvovirus 4, ungulate protoparvovirus 1, ungulate protoparvovirus 2, ungulate tetraparvovirus 2, ungulate tetraparvovirus 3, vesicular exanthema of swine virus, wad medani virus, western equine encephalitis virus","[pasteurella] aerogenes, achromobacter xylosoxidans, acidaminococcus fermentans, acinetobacter baumannii, actinobacillus equuli, actinobacillus suis, actinobacillus ureae, actinomyces israelii, actinomyces naeslundii, aerococcus viridans, aeromonas allosaccharophila, aeromonas caviae, aeromonas hydrophila, aliarcobacter butzleri, aliarcobacter cryaerophilus, aliarcobacter skirrowii, anaerorhabdus furcosa, anaplasma phagocytophilum, arcanobacterium haemolyticum, bacillus anthracis, bacillus cereus, bacteroides fragilis, bacteroides pyogenes, bergeyella zoohelcum, bifidobacterium animalis, bifidobacterium longum, bifidobacterium thermophilum, bordetella bronchiseptica, borrelia duttonii, brachyspira pilosicoli, brucella abortus, brucella melitensis, brucella suis, burkholderia pseudomallei, butyricimonas virosa, campylobacter coli, campylobacter hyointestinalis, campylobacter jejuni, campylobacter lanienae, campylobacter mucosalis, campylobacter sputorum, campylobacter ureolyticus, chlamydia abortus, chlamydia psittaci, chromobacterium violaceum, clostridioides difficile, clostridium intestinale, clostridium novyi, clostridium perfringens, clostridium sporogenes, clostridium tertium, clostridium tetani, corynebacterium glucuronolyticum, corynebacterium pseudotuberculosis, corynebacterium ulcerans, corynebacterium xerosis, coxiella burnetii, cutibacterium acnes, edwardsiella tarda, enterobacter cloacae, enterococcus avium, enterococcus casseliflavus, enterococcus cecorum, enterococcus durans, enterococcus faecalis, enterococcus faecium, enterococcus hirae, enterococcus mundtii, erysipelothrix rhusiopathiae, escherichia coli, escherichia fergusonii, fusobacterium necrophorum, gallibacterium anatis, haemophilus parahaemolyticus, haemophilus parainfluenzae, hathewaya histolytica, hathewaya limosa, helcococcus kunzii, helicobacter canadensis, helicobacter heilmannii, helicobacter suis, klebsiella pneumoniae, lactiplantibacillus plantarum, lactobacillus acidophilus, lactobacillus johnsonii, lactococcus garvieae, leptospira fainei, leptospira interrogans, leptospira kirschneri, leptospira santarosai, ligilactobacillus ruminis, ligilactobacillus salivarius, limosilactobacillus fermentum, limosilactobacillus mucosae, limosilactobacillus reuteri, listeria monocytogenes, mammaliicoccus sciuri, megasphaera elsdenii, morganella morganii, mycobacterium avium, mycobacterium celatum, mycobacterium interjectum, mycobacterium kansasii, mycobacterium palustre, mycobacterium scrofulaceum, mycobacterium szulgai, mycobacterium tuberculosis, mycobacterium xenopi, mycolicibacter terrae, mycolicibacterium flavescens, mycolicibacterium fortuitum, mycolicibacterium porcinum, mycolicibacterium smegmatis, mycoplasma salivarium, nocardia asteroides, odoribacter splanchnicus, paraburkholderia fungorum, pasteurella caballi, pasteurella multocida, phocaeicola vulgatus, plesiomonas shigelloides, proteus mirabilis, proteus penneri, proteus vulgaris, providencia alcalifaciens, providencia rettgeri, pseudomonas aeruginosa, rhodococcus hoagii, rickettsia prowazekii, rickettsia raoultii, rickettsia rickettsii, rickettsia slovaca, rickettsia tamurae, robinsoniella peoriensis, salmonella enterica, staphylococcus aureus, staphylococcus hyicus, staphylococcus intermedius, staphylococcus nepalensis, staphylococcus warneri, stenotrophomonas maltophilia, streptococcus alactolyticus, streptococcus dysgalactiae, streptococcus equi, streptococcus porcinus, streptococcus pyogenes, streptococcus suis, trueperella bernardiae, trueperella pyogenes, vagococcus fluvialis, veillonella parvula, yersinia enterocolitica, yersinia pseudotuberculosis, aspergillus niger, coccidioides immitis, encephalitozoon cuniculi, enterocytozoon bieneusi, histoplasma capsulatum, malassezia sympodialis, microsporum canis, rhizopus microsporus, saccharomyces cerevisiae, scedosporium boydii, trichophyton mentagrophytes, ascaris lumbricoides, clonorchis sinensis, echinococcus canadensis, echinococcus granulosus, fasciola gigantica, necator americanus, onchocerca dewittei, paragonimus westermani, taenia solium, trichinella papuae, balantioides coli, blastocystis hominis, cryptosporidium muris, cryptosporidium parvum, entamoeba polecki, giardia intestinalis, toxoplasma gondii, trypanosoma brucei, aichivirus b, alphacoronavirus 1, avian coronavirus, avian orthoavulavirus 1, banna virus, batai orthobunyavirus, betacoronavirus 1, bunyamwera orthobunyavirus, california encephalitis orthobunyavirus, canine morbillivirus, cardiovirus a, coronavirus hku15, cosavirus a, dabie bandavirus, eastern equine encephalitis virus, enterovirus a, enterovirus b, enterovirus d, enterovirus g, foot-and-mouth disease virus, getah virus, hepatitis b virus, human associated cyclovirus 8, human mastadenovirus d, human picobirnavirus, indiana vesiculovirus, influenza a virus, influenza b virus, influenza c virus, ingwavuma orthobunyavirus, japanese encephalitis virus, louping ill virus, mamastrovirus 3, mamastrovirus 4, mammalian orthoreovirus, mammalian orthorubulavirus 5, manzanilla orthobunyavirus, murine leukemia virus, new jersey vesiculovirus, nipah henipavirus, norwalk virus, orthohepevirus a, parechovirus a, pestivirus a, pestivirus b, porcine circovirus 1, porcine circovirus 2, porcine type-c oncovirus, rabies lyssavirus, reston ebolavirus, rotavirus a, rotavirus b, rotavirus c, rotavirus h, sapporo virus, semliki forest virus, severe acute respiratory syndrome-related coronavirus, simbu orthobunyavirus, sindbis virus, suid alphaherpesvirus 1, tacaiuma orthobunyavirus, tick-borne encephalitis virus, torque teno virus 1, torque teno virus 2, vesicular exanthema of swine virus, western equine encephalitis virus","Stricter (sequencing or isolation)"
"sus verrucosus","mammalia","artiodactyla","suidae","sus",TRUE,1,1,"porcine type-c oncovirus","porcine type-c oncovirus","Stricter (sequencing or isolation)"
"sylvia atricapilla","aves","passeriformes","sylviidae","sylvia",TRUE,6,3,"escherichia coli, salmonella bongori, yersinia enterocolitica, lyperosomum collurionis, haemoproteus belopolskyi, avian orthoreovirus","escherichia coli, salmonella bongori, yersinia enterocolitica","Stricter (sequencing or isolation)"
"sylvia borin","aves","passeriformes","sylviidae","sylvia",TRUE,1,1,"escherichia coli","escherichia coli","Stricter (sequencing or isolation)"
"sylvia communis","aves","passeriformes","sylviidae","sylvia",TRUE,3,2,"escherichia coli, thimiri orthobunyavirus, usutu virus","escherichia coli, usutu virus","Stricter (sequencing or isolation)"
"sylvia nisoria","aves","passeriformes","sylviidae","sylvia",TRUE,1,1,"west nile virus","west nile virus","Stricter (sequencing or isolation)"
"sylvicapra grimmia","mammalia","artiodactyla","bovidae","sylvicapra",TRUE,9,5,"selenomonas ruminantium, haemonchus contortus, nematodirus spathiger, teladorsagia circumcincta, trichostrongylus colubriformis, crimean-congo hemorrhagic fever orthonairovirus, foot-and-mouth disease virus, pestivirus a, predict_cov-85","teladorsagia circumcincta, trichostrongylus colubriformis, crimean-congo hemorrhagic fever orthonairovirus, foot-and-mouth disease virus, pestivirus a","Stricter (sequencing or isolation)"
"sylvilagus aquaticus","mammalia","lagomorpha","leporidae","sylvilagus",TRUE,1,1,"bunyamwera orthobunyavirus","bunyamwera orthobunyavirus","Stricter (sequencing or isolation)"
"sylvilagus audubonii","mammalia","lagomorpha","leporidae","sylvilagus",TRUE,9,6,"anaplasma phagocytophilum, francisella tularensis, bunyamwera orthobunyavirus, buttonwillow orthobunyavirus, kappapapillomavirus 2, manzanilla orthobunyavirus, myxoma virus, new jersey vesiculovirus, simbu orthobunyavirus","anaplasma phagocytophilum, francisella tularensis, bunyamwera orthobunyavirus, manzanilla orthobunyavirus, new jersey vesiculovirus, simbu orthobunyavirus","Stricter (sequencing or isolation)"
"sylvilagus bachmani","mammalia","lagomorpha","leporidae","sylvilagus",TRUE,2,1,"coxiella burnetii, myxoma virus","coxiella burnetii","Stricter (sequencing or isolation)"
"sylvilagus brasiliensis","mammalia","lagomorpha","leporidae","sylvilagus",TRUE,3,1,"indiana vesiculovirus, myxoma virus, patois orthobunyavirus","indiana vesiculovirus","Stricter (sequencing or isolation)"
"sylvilagus floridanus","mammalia","lagomorpha","leporidae","sylvilagus",TRUE,16,11,"[clostridium] piliforme, anaplasma bovis, anaplasma phagocytophilum, borreliella burgdorferi, francisella tularensis, mycobacterium avium, pasteurella multocida, rickettsia rickettsii, staphylococcus aureus, california encephalitis orthobunyavirus, european brown hare syndrome virus, kappapapillomavirus 2, keystone orthobunyavirus, rabbit fibroma virus, rabbit hemorrhagic disease virus, venezuelan equine encephalitis virus","[clostridium] piliforme, anaplasma phagocytophilum, borreliella burgdorferi, francisella tularensis, mycobacterium avium, pasteurella multocida, rickettsia rickettsii, staphylococcus aureus, california encephalitis orthobunyavirus, keystone orthobunyavirus, venezuelan equine encephalitis virus","Stricter (sequencing or isolation)"
"sylvilagus nuttallii","mammalia","lagomorpha","leporidae","sylvilagus",TRUE,1,1,"colorado tick fever coltivirus","colorado tick fever coltivirus","Stricter (sequencing or isolation)"
"sylvilagus palustris","mammalia","lagomorpha","leporidae","sylvilagus",TRUE,2,2,"francisella tularensis, bunyamwera orthobunyavirus","francisella tularensis, bunyamwera orthobunyavirus","Stricter (sequencing or isolation)"
"sylvisorex ollula","mammalia","eulipotyphla","soricidae","sylvisorex",TRUE,1,1,"zaire ebolavirus","zaire ebolavirus","Stricter (sequencing or isolation)"
"symphalangus syndactylus","mammalia","primates","hylobatidae","symphalangus",TRUE,4,4,"mycobacterium kansasii, shigella flexneri, cardiovirus a, primate t-lymphotropic virus 1","mycobacterium kansasii, shigella flexneri, cardiovirus a, primate t-lymphotropic virus 1","Stricter (sequencing or isolation)"
"symphodus melops","actinopteri","labriformes","labridae","symphodus",FALSE,2,0,"vibrio tapetis, piscine novirhabdovirus","","Stricter (sequencing or isolation)"
"symphodus roissali","actinopteri","labriformes","labridae","symphodus",FALSE,1,0,"gaevskajatrema perezi","","Stricter (sequencing or isolation)"
"symphodus rostratus","actinopteri","labriformes","labridae","symphodus",FALSE,1,0,"helicometra fasciata","","Stricter (sequencing or isolation)"
"symphodus tinca","actinopteri","labriformes","labridae","symphodus",FALSE,1,0,"redspotted grouper nervous necrosis virus","","Stricter (sequencing or isolation)"
"symphorus nematophorus","actinopteri","lutjaniformes","lutjanidae","symphorus",FALSE,6,0,"retrovarium amplorificium, retrovarium exiguiformosum, retrovarium formosum, retrovarium planum, retrovarium snyderi, retrovarium valdeparvum","","Stricter (sequencing or isolation)"
"symphysodon aequifasciata","actinopteri","cichliformes","cichlidae","symphysodon",TRUE,1,1,"mycolicibacterium fortuitum","mycolicibacterium fortuitum","Stricter (sequencing or isolation)"
"symphysodon discus","actinopteri","cichliformes","cichlidae","symphysodon",FALSE,1,0,"infectious pancreatic necrosis virus","","Stricter (sequencing or isolation)"
"synaphobranchus kaupii","actinopteri","anguilliformes","synaphobranchidae","synaphobranchus",FALSE,1,0,"anisakis physeteris","","Stricter (sequencing or isolation)"
"synaptomys borealis","mammalia","rodentia","cricetidae","synaptomys",FALSE,1,0,"anoplocephaloides kontrimavichusi","","Stricter (sequencing or isolation)"
"syncerus caffer","mammalia","artiodactyla","bovidae","syncerus",TRUE,37,17,"anaplasma sp., bacillus anthracis, brucella abortus, brucella sp., ehrlichia ruminantium, leptospira interrogans, mycobacterium avium, mycobacterium tuberculosis, rhodococcus hoagii, carmyerius gregarius, fasciola sp., haemonchus contortus, cryptosporidium sp., eimeria sp., sarcocystis sp., theileria mutans, theileria parva, toxoplasma gondii, trypanosoma evansi, alcelaphine gammaherpesvirus 1, bluetongue virus, bovine alphaherpesvirus 1, bovine fever ephemerovirus, bovine gammaherpesvirus 4, bovine orthopneumovirus, crimean-congo hemorrhagic fever orthonairovirus, foot-and-mouth disease virus, lumpy skin disease virus, lymphocystis disease virus 1, middelburg virus, onyong-nyong virus, ovine gammaherpesvirus 2, rift valley fever phlebovirus, rotavirus a, shuni orthobunyavirus, sindbis virus, west nile virus","bacillus anthracis, brucella abortus, ehrlichia ruminantium, leptospira interrogans, mycobacterium avium, mycobacterium tuberculosis, rhodococcus hoagii, toxoplasma gondii, crimean-congo hemorrhagic fever orthonairovirus, foot-and-mouth disease virus, middelburg virus, onyong-nyong virus, rift valley fever phlebovirus, rotavirus a, shuni orthobunyavirus, sindbis virus, west nile virus","Stricter (sequencing or isolation)"
"synchiropus splendidus","actinopteri","syngnathiformes","callionymidae","synchiropus",TRUE,1,1,"infectious spleen and kidney necrosis virus","infectious spleen and kidney necrosis virus","Stricter (sequencing or isolation)"
"syngnathus acus","actinopteri","syngnathiformes","syngnathidae","syngnathus",FALSE,1,0,"gyrodactylus eyipayipi","","Stricter (sequencing or isolation)"
"syngnathus scovelli","actinopteri","syngnathiformes","syngnathidae","syngnathus",FALSE,1,0,"syngnathid ichthamaparvovirus 1","","Stricter (sequencing or isolation)"
"synodontis frontosus","actinopteri","siluriformes","mochokidae","synodontis",FALSE,2,0,"wenyonia minuta, wenyonia virilis","","Stricter (sequencing or isolation)"
"synodontis schall","actinopteri","siluriformes","mochokidae","synodontis",FALSE,3,0,"wenyonia minuta, wenyonia virilis, wenyonia youdeoweii","","Stricter (sequencing or isolation)"
"synodontis serratus","actinopteri","siluriformes","mochokidae","synodontis",FALSE,1,0,"wenyonia youdeoweii","","Stricter (sequencing or isolation)"
"synodus foetens","actinopteri","aulopiformes","synodontidae","synodus",FALSE,1,0,"anantrum tortum","","Stricter (sequencing or isolation)"
"synodus macrops","actinopteri","aulopiformes","synodontidae","synodus",FALSE,1,0,"synodus synodonvirus","","Stricter (sequencing or isolation)"
"synodus variegatus","actinopteri","aulopiformes","synodontidae","synodus",TRUE,1,1,"streptococcus iniae","streptococcus iniae","Stricter (sequencing or isolation)"
"syrrhaptes paradoxus","aves","ciconiiformes","pteroclidae","syrrhaptes",TRUE,1,1,"influenza a virus","influenza a virus","Stricter (sequencing or isolation)"
"tachybaptus ruficollis","aves","podicipediformes","podicipedidae","tachybaptus",TRUE,1,1,"influenza a virus","influenza a virus","Stricter (sequencing or isolation)"
"tachyeres pteneres","aves","anseriformes","anatidae","tachyeres",TRUE,1,1,"usutu virus","usutu virus","Stricter (sequencing or isolation)"
"tachyglossus aculeatus","mammalia","monotremata","tachyglossidae","tachyglossus",FALSE,2,0,"nicollina cameroni, macropodid alphaherpesvirus 1","","Stricter (sequencing or isolation)"
"tachyoryctes splendens","mammalia","rodentia","spalacidae","tachyoryctes",TRUE,1,1,"cryptosporidium muris","cryptosporidium muris","Stricter (sequencing or isolation)"
"tachysurus fulvidraco","actinopteri","siluriformes","bagridae","tachysurus",TRUE,13,9,"aeromonas allosaccharophila, aeromonas veronii, edwardsiella ictaluri, myroides odoratimimus, plesiomonas shigelloides, shewanella putrefaciens, vibrio cholerae, vibrio mimicus, yersinia ruckeri, mucor circinelloides, dollfustrema vaneyi, philometroides fulvidraconi, procamallanus fulvidraconis","aeromonas allosaccharophila, aeromonas veronii, myroides odoratimimus, plesiomonas shigelloides, shewanella putrefaciens, vibrio cholerae, vibrio mimicus, yersinia ruckeri, mucor circinelloides","Stricter (sequencing or isolation)"
"tadarida brasiliensis","mammalia","chiroptera","molossidae","tadarida",TRUE,10,6,"histoplasma capsulatum, bat associated circovirus 4, bat associated cyclovirus 12, langur virus, murine leukemia virus, rabies lyssavirus, rio bravo virus, saint louis encephalitis virus, severe acute respiratory syndrome-related coronavirus, west nile virus","histoplasma capsulatum, murine leukemia virus, rabies lyssavirus, saint louis encephalitis virus, severe acute respiratory syndrome-related coronavirus, west nile virus","Stricter (sequencing or isolation)"
"tadarida teniotis","mammalia","chiroptera","molossidae","tadarida",TRUE,2,2,"european bat 1 lyssavirus, mammalian orthoreovirus","european bat 1 lyssavirus, mammalian orthoreovirus","Stricter (sequencing or isolation)"
"tadorna ferruginea","aves","anseriformes","anatidae","tadorna",TRUE,4,3,"avian orthoavulavirus 1, avian paraavulavirus 4, influenza a virus, usutu virus","avian orthoavulavirus 1, influenza a virus, usutu virus","Stricter (sequencing or isolation)"
"tadorna radjah","aves","anseriformes","anatidae","tadorna",TRUE,1,1,"avian coronavirus","avian coronavirus","Stricter (sequencing or isolation)"
"tadorna tadorna","aves","anseriformes","anatidae","tadorna",TRUE,7,4,"aeromonas hydrophila, anatid alphaherpesvirus 1, avian metaavulavirus 8, avian orthoavulavirus 1, duck hepatitis b virus, influenza a virus, tembusu virus","aeromonas hydrophila, avian orthoavulavirus 1, influenza a virus, tembusu virus","Stricter (sequencing or isolation)"
"tadorna tadornoides","aves","anseriformes","anatidae","tadorna",TRUE,2,2,"avian coronavirus, influenza a virus","avian coronavirus, influenza a virus","Stricter (sequencing or isolation)"
"taeniopygia guttata","aves","passeriformes","estrildidae","taeniopygia",TRUE,11,5,"bacillus licheniformis, elizabethkingia meningoseptica, enterobacter cloacae, mycobacterium genavense, rothia nasimurium, staphylococcus aureus, aves polyomavirus 1, finch circovirus, pyrrhula pyrrhula polyomavirus 1, serinus canaria polyomavirus 1, zebra finch circovirus","bacillus licheniformis, elizabethkingia meningoseptica, enterobacter cloacae, mycobacterium genavense, staphylococcus aureus","Stricter (sequencing or isolation)"
"taeniura lymma","chondrichthyes","myliobatiformes","potamotrygonidae","taeniura",FALSE,2,0,"neoentobdella australis, prochristianella macracantha","","Stricter (sequencing or isolation)"
"taeniura meyeni","chondrichthyes","myliobatiformes","potamotrygonidae","taeniura",FALSE,1,0,"neoentobdella taiwanensis","","Stricter (sequencing or isolation)"
"takifugu alboplumbeus","actinopteri","tetraodontiformes","tetraodontidae","takifugu",TRUE,3,2,"lactococcus lactis, infectious spleen and kidney necrosis virus, redspotted grouper nervous necrosis virus","lactococcus lactis, infectious spleen and kidney necrosis virus","Stricter (sequencing or isolation)"
"takifugu oblongus","actinopteri","tetraodontiformes","tetraodontidae","takifugu",TRUE,7,1,"bacillus aquimaris, brachybacterium paraconglomeratum, psychrobacter celer, vibrio ichthyoenteri, vibrio ponticus, vibrio proteolyticus, vibrio rotiferianus","bacillus aquimaris","Stricter (sequencing or isolation)"
"takifugu pardalis","actinopteri","tetraodontiformes","tetraodontidae","takifugu",FALSE,1,0,"redspotted grouper nervous necrosis virus","","Stricter (sequencing or isolation)"
"takifugu rubripes","actinopteri","tetraodontiformes","tetraodontidae","takifugu",TRUE,13,4,"acinetobacter johnsonii, acinetobacter lwoffii, bacillus cereus, exiguobacterium acetylicum, kushneria marisflavi, lysinibacillus fusiformis, psychrobacter psychrophilus, vibrio ichthyoenteri, vibrio penaeicida, heterobothrium okamotoi, paradeontacylix sinensis, tiger puffer nervous necrosis virus, yellowtail ascites virus","acinetobacter johnsonii, acinetobacter lwoffii, bacillus cereus, exiguobacterium acetylicum","Stricter (sequencing or isolation)"
